x,y,z,s
-1.98,0.0,0.0,0.0
-1.88,0.0,0.0,0.1
-1.78,0.0,0.0,0.2
-1.68,0.0,0.0,0.3
-1.58,0.0,0.0,0.4
-1.48,0.0,0.0,0.5
-1.38,0.0,0.0,0.6
-1.28,0.0,0.0,0.7
-1.18,0.0,0.0,0.8
-1.08,0.0,0.0,0.9
-0.98,0.0,0.0,1.0
-0.88,0.0,0.0,1.1
-0.78,0.0,0.0,1.2
-0.68,0.0,0.0,1.3
-0.58,0.0,0.0,1.4
-0.48,0.0,0.0,1.5
-0.38,0.0,0.0,1.6
-0.28,0.0,0.0,1.7
-0.18,0.0,0.0,1.8
-0.08,0.0,0.0,1.9
0.02,0.0,0.0,2.0
0.12,0.0,0.0,2.1
0.22,0.0,0.0,2.2
0.32,0.0,0.0,2.3
0.42,0.0,0.0,2.4
0.52,0.0,0.0,2.5
0.62,0.0,0.0,2.6
0.72,0.0,0.0,2.7
0.82,0.0,0.0,2.8
0.92,0.0,0.0,2.9
1.02,0.0,0.0,3.0
1.12,0.0,0.0,3.1
1.22,0.0,0.0,3.2
1.32,0.0,0.0,3.3
1.42,0.0,0.0,3.4
1.52,0.0,0.0,3.5
1.62,0.0,0.0,3.6
1.72,0.0,0.0,3.7
1.82,0.0,0.0,3.8
1.92,0.0,0.0,3.9
2.02,0.0,0.0,4.0
2.12,0.0,0.0,4.1
2.22,0.0,0.0,4.2
2.32,0.0,0.0,4.3
2.42,0.0,0.0,4.4
2.52,0.0,0.0,4.5
2.62,0.0,0.0,4.6
2.72,0.0,0.0,4.7
2.82,0.0,0.0,4.8
2.92,0.0,0.0,4.9
3.02,0.0,0.0,5.0
3.12,0.0,0.0,5.1
3.22,0.0,0.0,5.2
3.32,0.0,0.0,5.3
3.42,0.0,0.0,5.4
3.52,0.0,0.0,5.5
3.62,0.0,0.0,5.6
3.72,0.0,0.0,5.7
3.82,0.0,0.0,5.8
3.92,0.0,0.0,5.9
4.02,0.0,0.0,6.0
4.12,0.0,0.0,6.1
4.22,0.0,0.0,6.2
4.32,0.0,0.0,6.3
4.42,0.0,0.0,6.4
4.52,0.0,0.0,6.5
4.62,0.0,0.0,6.6
4.72,0.0,0.0,6.7
4.82,0.0,0.0,6.8
4.92,0.0,0.0,6.9
5.02,0.0,0.0,7.0
5.12,0.0,0.0,7.1
5.22,0.0,0.0,7.2
5.32,0.0,0.0,7.3
5.42,0.0,0.0,7.4
5.52,0.0,0.0,7.5
5.62,0.0,0.0,7.6
5.72,0.0,0.0,7.7
5.82,0.0,0.0,7.8
5.92,0.0,0.0,7.9
6.02,0.0,0.0,8.0
6.12,0.0,0.0,8.1
6.22,0.0,0.0,8.2
6.32,0.0,0.0,8.3
6.42,0.0,0.0,8.4
6.52,0.0,0.0,8.5
6.62,0.0,0.0,8.6
6.72,0.0,0.0,8.7
6.82,0.0,0.0,8.8
6.92,0.0,0.0,8.9
7.02,0.0,0.0,9.0
7.12,0.0,0.0,9.1
7.22,0.0,0.0,9.2
7.32,0.0,0.0,9.3
7.42,0.0,0.0,9.4
7.52,0.0,0.0,9.5
7.62,0.0,0.0,9.6
7.72,0.0,0.0,9.7
7.82,0.0,0.0,9.8
7.92,0.0,0.0,9.9
8.02,0.0,0.0,10.0
8.12,0.0,0.0,10.1
8.22,0.0,0.0,10.2
8.32,0.0,0.0,10.3
8.42,0.0,0.0,10.4
8.52,0.0,0.0,10.5
8.62,0.0,0.0,10.6
8.72,0.0,0.0,10.7
8.82,0.0,0.0,10.8
8.92,0.0,0.0,10.9
9.02,0.0,0.0,11.0
9.12,0.0,0.0,11.1
9.22,0.0,0.0,11.2
9.32,0.0,0.0,11.3
9.42,0.0,0.0,11.4
9.52,0.0,0.0,11.5
9.62,0.0,0.0,11.6
9.72,0.0,0.0,11.7
9.82,0.0,0.0,11.8
9.92,0.0,0.0,11.9
10.02,0.0,0.0,12.0
10.12,0.0,0.0,12.1
10.22,0.0,0.0,12.2
10.32,0.0,0.0,12.3
10.42,0.0,0.0,12.4
10.52,0.0,0.0,12.5
10.62,0.0,0.0,12.6
10.72,0.0,0.0,12.7
10.82,0.0,0.0,12.8
10.92,0.0,0.0,12.9
11.02,0.0,0.0,13.0
11.12,0.0,0.0,13.1
11.22,0.0,0.0,13.2
11.32,0.0,0.0,13.3
11.42,0.0,0.0,13.4
11.52,0.0,0.0,13.5
11.62,0.0,0.0,13.6
11.72,0.0,0.0,13.7
11.82,0.0,0.0,13.8
11.92,0.0,0.0,13.9
12.02,0.0,0.0,14.0
12.12,0.0,0.0,14.1
12.22,0.0,0.0,14.2
12.32,0.0,0.0,14.3
12.42,0.0,0.0,14.4
12.52,0.0,0.0,14.5
12.62,0.0,0.0,14.6
12.72,0.0,0.0,14.7
12.82,0.0,0.0,14.8
12.92,0.0,0.0,14.9
13.02,0.0,0.0,15.0
13.12,0.0,0.0,15.1
13.22,0.0,0.0,15.2
13.32,0.0,0.0,15.3
13.42,0.0,0.0,15.4
13.52,0.0,0.0,15.5
13.62,0.0,0.0,15.6
13.72,0.0,0.0,15.7
13.82,0.0,0.0,15.8
13.92,0.0,0.0,15.9
14.02,0.0,0.0,16.0
14.12,0.0,0.0,16.1
14.22,0.0,0.0,16.2
14.32,0.0,0.0,16.3
14.42,0.0,0.0,16.4
14.52,0.0,0.0,16.5
14.62,0.0,0.0,16.6
14.72,0.0,0.0,16.7
14.82,0.0,0.0,16.8
14.92,0.0,0.0,16.9
15.02,0.0,0.0,17.0
15.12,0.0,0.0,17.1
15.22,0.0,0.0,17.2
15.32,0.0,0.0,17.3
15.42,0.0,0.0,17.4
15.52,0.0,0.0,17.5
15.62,0.0,0.0,17.6
15.72,0.0,0.0,17.7
15.82,0.0,0.0,17.8
15.92,0.0,0.0,17.9
16.02,0.0,0.0,18.0
16.12,0.0,0.0,18.1
16.22,0.0,0.0,18.2
16.32,0.0,0.0,18.3
16.42,0.0,0.0,18.4
16.52,0.0,0.0,18.5
16.62,0.0,0.0,18.6
16.72,0.0,0.0,18.7
16.82,0.0,0.0,18.8
16.92,0.0,0.0,18.9
17.02,0.0,0.0,19.0
17.12,0.0,0.0,19.1
17.22,0.0,0.0,19.2
17.32,0.0,0.0,19.3
17.42,0.0,0.0,19.4
17.52,0.0,0.0,19.5
17.62,0.0,0.0,19.6
17.72,0.0,0.0,19.7
17.82,0.0,0.0,19.8
17.92,0.0,0.0,19.9
18.02,0.0,0.0,20.0
18.12,0.0,0.0,20.1
18.22,0.0,0.0,20.2
18.32,0.0,0.0,20.3
18.42,0.0,0.0,20.4
18.52,0.0,0.0,20.5
18.62,0.0,0.0,20.6
18.72,0.0,0.0,20.7
18.82,0.0,0.0,20.8
18.92,0.0,0.0,20.9
19.02,0.0,0.0,21.0
19.12,0.0,0.0,21.1
19.22,0.0,0.0,21.2
19.32,0.0,0.0,21.3
19.42,0.0,0.0,21.4
19.52,0.0,0.0,21.5
19.62,0.0,0.0,21.6
19.72,0.0,0.0,21.7
19.82,0.0,0.0,21.8
19.92,0.0,0.0,21.9
20.02,0.0,0.0,22.0
20.12,0.0,0.0,22.1
20.22,0.0,0.0,22.2
20.32,0.0,0.0,22.3
20.42,0.0,0.0,22.4
20.52,0.0,0.0,22.5
20.62,0.0,0.0,22.6
20.72,0.0,0.0,22.7
20.82,0.0,0.0,22.8
20.92,0.0,0.0,22.9
21.02,0.0,0.0,23.0
21.12,0.0,0.0,23.1
21.22,0.0,0.0,23.2
21.32,0.0,0.0,23.3
21.42,0.0,0.0,23.4
21.52,0.0,0.0,23.5
21.62,0.0,0.0,23.6
21.72,0.0,0.0,23.7
21.82,0.0,0.0,23.8
21.92,0.0,0.0,23.9
22.02,0.0,0.0,24.0
22.12,0.0,0.0,24.1
22.22,0.0,0.0,24.2
22.32,0.0,0.0,24.3
22.42,0.0,0.0,24.4
22.52,0.0,0.0,24.5
22.62,0.0,0.0,24.6
22.72,0.0,0.0,24.7
22.82,0.0,0.0,24.8
22.92,0.0,0.0,24.9
23.02,0.0,0.0,25.0
23.12,0.0,0.0,25.1
23.22,0.0,0.0,25.2
23.32,0.0,0.0,25.3
23.42,0.0,0.0,25.4
23.52,0.0,0.0,25.5
23.62,0.0,0.0,25.6
23.72,0.0,0.0,25.7
23.82,0.0,0.0,25.8
23.92,0.0,0.0,25.9
24.02,0.0,0.0,26.0
24.12,0.0,0.0,26.1
24.22,0.0,0.0,26.2
24.32,0.0,0.0,26.3
24.42,0.0,0.0,26.4
24.52,0.0,0.0,26.5
24.62,0.0,0.0,26.6
24.72,0.0,0.0,26.7
24.82,0.0,0.0,26.8
24.92,0.0,0.0,26.9
25.02,0.0,0.0,27.0
25.12,0.0,0.0,27.1
25.22,0.0,0.0,27.2
25.32,0.0,0.0,27.3
25.42,0.0,0.0,27.4
25.52,0.0,0.0,27.5
25.62,0.0,0.0,27.6
25.72,0.0,0.0,27.7
25.82,0.0,0.0,27.8
25.92,0.0,0.0,27.9
26.02,0.0,0.0,28.0
26.12,0.0,0.0,28.1
26.22,0.0,0.0,28.2
26.32,0.0,0.0,28.3
26.42,0.0,0.0,28.4
26.52,0.0,0.0,28.5
26.62,0.0,0.0,28.6
26.72,0.0,0.0,28.7
26.82,0.0,0.0,28.8
26.92,0.0,0.0,28.9
27.02,0.0,0.0,29.0
27.12,0.0,0.0,29.1
27.22,0.0,0.0,29.2
27.32,0.0,0.0,29.3
27.42,0.0,0.0,29.4
27.52,0.0,0.0,29.5
27.62,0.0,0.0,29.6
27.72,0.0,0.0,29.7
